iter	Passed	Remaining
399	62697	15674
400	62900	15529
401	63101	15383
402	63273	15229
403	63474	15083
404	63659	14932
405	63838	14780
406	63992	14622
407	64176	14471
408	64372	14322
409	64541	14167
410	64711	14012
411	64891	13860
412	65065	13706
413	65238	13551
414	65418	13398
415	65599	13246
416	65743	13085
417	65923	12932
418	66084	12775
419	66270	12623
420	66456	12470
421	66633	12316
422	66808	12161
423	66982	12006
424	67154	11850
425	67311	11692
426	67475	11535
427	67664	11382
428	67831	11226
429	67990	11068
430	68144	10909
431	68305	10751
432	68466	10594
433	68641	10438
434	68818	10283
435	68983	10126
436	69156	9969
437	69328	9813
438	69515	9659
439	69695	9503
440	69859	9346
441	70029	9189
442	70187	9030
443	70351	8873
444	70515	8715
445	70699	8559
446	70893	8405
447	71047	8246
448	71223	8089
449	71361	7929
450	71527	7771
451	71682	7612
452	71846	7454
453	71994	7294
454	72144	7135
455	72335	6979
456	72494	6821
457	72683	6665
458	72862	6508
459	73015	6349
460	73176	6190
461	73330	6031
462	73472	5871
463	73647	5714
464	73820	5556
465	74005	5399
466	74182	5242
467	74332	5082
468	74490	4923
469	74657	4765
470	74812	4606
471	74974	4447
472	75111	4287
473	75274	4128
474	75429	3969
475	75601	3811
476	75773	3653
477	75949	3495
478	76128	3337
479	76302	3179
480	76485	3021
481	76672	2863
482	76837	2704
483	77008	2545
484	77199	2387
485	77378	2229
486	77546	2070
487	77693	1910
488	77859	1751
489	78026	1592
490	78184	1433
491	78324	1273
492	78491	1114
493	78660	955
494	78828	796
495	78988	637
496	79171	477
497	79330	318
498	79502	159
499	79652	0
