iter	Accuracy	Logloss
147	0.535425	0.6904541223
148	0.5354875	0.6904386648
149	0.53555	0.6904173894
150	0.53515	0.6903735678
151	0.5357875	0.6903336621
152	0.5358625	0.6903145297
153	0.5358625	0.6903145202
154	0.535975	0.6903013596
155	0.5363875	0.6902703708
156	0.5363875	0.6902703708
157	0.5363625	0.690260231
158	0.53645	0.6902376129
159	0.5359875	0.6902194039
160	0.5361375	0.6902029825
161	0.537025	0.6901731842
162	0.5371625	0.6901628512
163	0.5371625	0.6901626158
164	0.5371625	0.6901626117
165	0.5370625	0.6901451997
166	0.537125	0.6901280282
167	0.5370625	0.6901275227
168	0.537075	0.6901097209
169	0.5370375	0.6901090136
170	0.5368875	0.6900954384
171	0.537275	0.6900910532
172	0.5373875	0.6900836941
173	0.5373875	0.6900582078
174	0.538075	0.6900422357
175	0.538325	0.690014504
176	0.53865	0.6899835982
177	0.5386125	0.6899763732
178	0.5388125	0.6899496104
179	0.5389375	0.6899434745
180	0.53875	0.6899350169
181	0.538675	0.689910709
182	0.5388625	0.6898832001
183	0.5386625	0.6898607772
184	0.5386625	0.6898607756
185	0.53865	0.6898600704
186	0.538675	0.6898538435
187	0.5385125	0.6898261193
188	0.5393625	0.6898145824
189	0.5393625	0.689814569
190	0.5396	0.6897968158
191	0.53995	0.6897552374
192	0.5398375	0.6897384936
193	0.5406375	0.6896984005
194	0.54065	0.6896979441
195	0.540575	0.6896801677
196	0.541275	0.6896457185
197	0.5415625	0.6896217578
198	0.5412625	0.6896065299
199	0.5412625	0.6896065299
200	0.54125	0.6896065299
201	0.54165	0.6895778166
202	0.5420875	0.68957716
203	0.54235	0.6895609733
204	0.5424	0.6895345064
205	0.54305	0.6894884264
206	0.54295	0.6894787967
207	0.5427625	0.6894683729
208	0.5428	0.6894677918
209	0.5430375	0.6894495188
210	0.5428125	0.6894486735
211	0.5436375	0.6894236981
212	0.5442875	0.6893802613
213	0.5440125	0.6893493465
214	0.5439125	0.6893389853
215	0.5440125	0.6893386333
216	0.5444375	0.6893138255
217	0.5445	0.6892803677
218	0.54485	0.6892405064
219	0.544775	0.689213696
220	0.5453	0.6891790491
221	0.5450375	0.6891725367
222	0.5451125	0.6891428837
223	0.5450875	0.6891318392
224	0.546025	0.6890941755
225	0.5461125	0.6890648277
226	0.5466375	0.6890261423
227	0.5466375	0.6890261423
228	0.5466625	0.6890256972
229	0.546875	0.6890047351
230	0.5466625	0.6889827205
231	0.546575	0.6889554011
232	0.5464625	0.6889270451
233	0.5467125	0.6889134812
234	0.5471	0.6888825498
235	0.547025	0.688855973
236	0.5473625	0.6888361343
237	0.5476625	0.6887975075
238	0.5475875	0.6887765784
239	0.5471625	0.6887600779
240	0.547125	0.6887298579
241	0.5477125	0.6886899728
242	0.5478875	0.6886409975
243	0.549275	0.6885969784
244	0.54935	0.6885573969
245	0.5497125	0.688525844
246	0.5496125	0.6885058092
247	0.5497125	0.6884809494
248	0.550075	0.6884544849
249	0.5501625	0.6884396581
250	0.549925	0.688426736
251	0.5504125	0.6883848378
252	0.5506125	0.6883551907
253	0.550575	0.688303661
254	0.5505375	0.6882627782
255	0.551225	0.6882168477
256	0.5508875	0.6881895693
257	0.551625	0.6881443337
258	0.552175	0.6881284092
259	0.5520375	0.6880944131
260	0.5524125	0.6880689605
261	0.5528125	0.688030013
262	0.552875	0.6880155395
263	0.553475	0.6879515709
264	0.5539125	0.6879005435
265	0.5538125	0.6878457816
266	0.554175	0.6878129011
267	0.5545	0.687771248
268	0.5545375	0.6877314504
269	0.5552125	0.687688427
270	0.5551875	0.6876518724
271	0.555275	0.6876235182
272	0.555275	0.6875972799
273	0.5555125	0.6875509523
274	0.5561125	0.6875136378
275	0.5557125	0.6874688228
276	0.556	0.6874450514
277	0.555275	0.687405595
278	0.5555375	0.6873481094
279	0.5561625	0.6873066527
280	0.5562625	0.6872603522
281	0.556975	0.6872215351
282	0.5569375	0.6871954281
283	0.557	0.6871866934
284	0.5570875	0.6871431826
285	0.5575125	0.6871147362
286	0.5577125	0.6870660765
287	0.5581375	0.6870493578
288	0.5584125	0.6870099798
289	0.558725	0.6869684559
290	0.5585	0.686930697
291	0.55845	0.6868976197
292	0.55935	0.6868663422
293	0.5596125	0.6868236149
294	0.5594	0.6867774951
295	0.559925	0.686742675
296	0.5598125	0.6866980847
297	0.55985	0.68667821
298	0.5601625	0.6866322344
299	0.5600125	0.6865876639
300	0.5601	0.686541324
301	0.561025	0.6865130133
302	0.5607125	0.6865027102
303	0.561	0.686456477
304	0.5612625	0.6864406198
305	0.56135	0.6864106293
306	0.56145	0.6863628327
307	0.5615375	0.6863445161
308	0.562175	0.6863022922
309	0.5627125	0.6862459417
310	0.5629	0.6862070264
311	0.5626125	0.6861696419
312	0.563225	0.6861495626
313	0.56305	0.6861365442
314	0.56295	0.6860962833
315	0.562975	0.6860782771
316	0.5630125	0.6860513257
317	0.5633875	0.6860300975
318	0.5635375	0.6859931614
319	0.5635125	0.6859780788
320	0.5637875	0.6859273897
321	0.5632875	0.6858978939
322	0.5637375	0.6858594842
323	0.56415	0.6858058494
324	0.5639375	0.6857674246
325	0.5642375	0.6857261401
326	0.56505	0.6856780355
327	0.5651375	0.6856292704
328	0.5654125	0.685593004
329	0.5655	0.6855760065
330	0.565925	0.6855366162
331	0.565675	0.68552086
332	0.5662375	0.6854816221
333	0.56665	0.6854530347
334	0.566725	0.6854075238
335	0.5672125	0.6853666119
336	0.567725	0.685323375
337	0.5683125	0.6852751304
338	0.5679	0.6852647981
339	0.5684375	0.6852149454
340	0.568425	0.6851785391
341	0.56835	0.685160469
342	0.5686	0.6851220958
343	0.568725	0.6850763233
344	0.5685375	0.6850572941
345	0.5686125	0.6850214591
346	0.5683	0.6849835707
347	0.5683	0.6849572681
348	0.5684375	0.6849168784
349	0.56895	0.6848986547
350	0.56925	0.6848473384
351	0.5694375	0.6847892245
352	0.5697125	0.6847578415
353	0.56995	0.6847146245
354	0.5701875	0.6846837705
355	0.5705	0.684637347
356	0.570725	0.6845915765
357	0.570975	0.6845592902
358	0.571225	0.6845255468
359	0.5714625	0.6844917449
360	0.57135	0.6844498179
361	0.5723	0.6843976718
362	0.5722625	0.6843612769
363	0.5725	0.6843068118
364	0.5725375	0.6842764009
365	0.572525	0.6842442631
366	0.57255	0.6842357295
367	0.57245	0.6842156359
368	0.5730625	0.6841733449
369	0.5734125	0.6841376733
370	0.5735	0.684095921
371	0.5732625	0.6840674451
372	0.573375	0.6840588209
373	0.5739125	0.6840209004
374	0.574075	0.6839861015
375	0.573925	0.6839375731
376	0.5741625	0.683908191
377	0.574225	0.6838875725
378	0.574275	0.6838474965
379	0.5742625	0.6838168698
380	0.574625	0.6837976695
381	0.5747625	0.6837538708
382	0.5747125	0.6837137444
383	0.5748375	0.6836722892
384	0.5749	0.6836611096
385	0.5748125	0.6836341056
386	0.57455	0.6835851298
387	0.5753125	0.6835564539
388	0.5762875	0.6835022439
389	0.576275	0.683466653
390	0.5761875	0.6834349959
391	0.5771875	0.6833959869
392	0.5770125	0.683377881
393	0.5771	0.683349321
394	0.5768625	0.6833354302
395	0.5769875	0.6832972805
396	0.5773	0.6832615347
397	0.5777	0.6832219618
398	0.5780625	0.6831773352
399	0.5784875	0.6831386858
400	0.5787125	0.6830896623
401	0.5789125	0.683039645
402	0.5797375	0.6829827405
403	0.579825	0.6829354171
404	0.579875	0.6829019255
405	0.580175	0.6828687612
406	0.5800375	0.6828583829
407	0.580125	0.6828168682
408	0.5804	0.6827725698
409	0.580075	0.6827466082
410	0.580325	0.682710024
411	0.581075	0.68268149
412	0.581225	0.6826447888
413	0.581125	0.682604784
414	0.5811	0.6825610244
415	0.5812375	0.6825152951
416	0.5817875	0.6824992488
417	0.58205	0.6824594125
418	0.582375	0.6824262225
419	0.5824375	0.6823830002
420	0.58265	0.682342737
421	0.582525	0.682305639
422	0.58275	0.6822725099
423	0.5829375	0.6822555483
424	0.5832	0.6822195375
425	0.5829375	0.6821762948
426	0.583225	0.6821267468
427	0.5830875	0.6820965857
428	0.5834375	0.682053063
429	0.5833625	0.6820467905
430	0.5834	0.6820085099
431	0.58335	0.6819666064
432	0.5833	0.6819467438
433	0.583825	0.6819131272
434	0.5842375	0.6818827676
435	0.5841125	0.6818525296
436	0.5842125	0.6818246951
437	0.58435	0.6817987121
438	0.584225	0.6817634777
439	0.5841375	0.681705632
440	0.5841375	0.681679323
441	0.5846875	0.6816371099
442	0.5844	0.681604705
443	0.5844625	0.6815634016
444	0.58445	0.6815366236
445	0.584225	0.6814952313
446	0.58425	0.6814736119
447	0.584325	0.6814517208
448	0.584275	0.6814100241
449	0.5843375	0.6813888526
450	0.58445	0.6813508259
451	0.584325	0.6813073243
452	0.5844375	0.6812716873
453	0.584425	0.6812475221
454	0.58455	0.6812164131
455	0.5845625	0.6811792869
456	0.58475	0.6811627484
457	0.5850375	0.6811373912
458	0.5853	0.6811128846
459	0.5857125	0.6810596201
460	0.5858375	0.6810335843
461	0.585775	0.681009278
462	0.5858625	0.6809989917
463	0.58585	0.6809595797
464	0.5858875	0.6809283707
465	0.586325	0.680891897
466	0.5859875	0.6808711103
467	0.5860875	0.6808626074
468	0.5861	0.6808380233
469	0.5867375	0.6807890157
470	0.5868625	0.6807487679
471	0.586825	0.6807293039
472	0.5866125	0.680719738
473	0.5867375	0.6806795878
474	0.5874625	0.6806361884
475	0.5873375	0.6806023062
476	0.5873125	0.68056309
477	0.587475	0.6805339116
478	0.587775	0.6804946822
479	0.58785	0.6804674237
480	0.587775	0.6804339841
481	0.5880125	0.6803911873
482	0.588275	0.6803676218
483	0.5883625	0.6803405914
484	0.58885	0.6802959034
485	0.5889	0.6802685794
486	0.588675	0.6802314386
487	0.588975	0.6802045611
488	0.588775	0.6801746977
489	0.5888875	0.680138228
490	0.58925	0.6801222555
491	0.589325	0.6801068496
492	0.58895	0.6800762923
493	0.5888	0.6800399057
494	0.5891875	0.6800017216
495	0.5891875	0.6799705897
496	0.589225	0.6799204232
497	0.59	0.6798796418
498	0.5901125	0.6798400511
499	0.5905625	0.6797997582
